# REAL VTOP FFCS DATA - FALL SEMESTER 2026-27
# Format: course_code|course_name|faculty|slot_group|component|venue
# Slot groups are taken from the VTOP registration screenshots supplied for this project.

# MAT1003 - Calculus
MAT1003|Calculus|PALAS MANDAL|B11+B12+B13+C14+E11+E12|LT|AB-501
MAT1003|Calculus|SHAKILA C.V|B11+B12+B13+C14+E11+E12|LT|AB-503
MAT1003|Calculus|DEVANAND|B11+B12+B13+C14+E11+E12|LT|AB-518
MAT1003|Calculus|DILEEP KUMAR|B11+B12+B13+C14+E11+E12|LT|AB-519
MAT1003|Calculus|ANIL KUMAR SHUKLA|B11+B12+B13+C14+E11+E12|LT|AB-529
MAT1003|Calculus|SANTOSH KUMAR BHAL|B11+B12+B13+C14+E11+E12|LT|AB-429
MAT1003|Calculus|ANKIT FARKYA|B11+B12+B13+C14+E11+E12|LT|AB-416
MAT1003|Calculus|RANJITHA|B21+B22+B23+E14+E21+E22|LT|AB-420
MAT1003|Calculus|ENAGANDULA PRASAD|B21+B22+B23+E14+E21+E22|LT|AB-507
MAT1003|Calculus|ABHISHEKH|B21+B22+B23+E14+E21+E22|LT|AB-513
MAT1003|Calculus|ANUPAM SEN|B21+B22+B23+E14+E21+E22|LT|AB-514
MAT1003|Calculus|VICTOR A|B21+B22+B23+E14+E21+E22|LT|AB-515
MAT1003|Calculus|NIYAZ AHMED L|B21+B22+B23+E14+E21+E22|LT|AB-518
MAT1003|Calculus|NFSAL-MAT4|C11+C12+C13+F11+F12+F14|LT|AB-023
MAT1003|Calculus|NFSAL-MAT4|C11+C12+C13+F11+F12+F14|LT|AB-430
MAT1003|Calculus|SHEERIN KAYENAT|C11+C12+C13+F11+F12+F14|LT|AB-502
MAT1003|Calculus|PRASHANT KUMAR PANDEY|C11+C12+C13+F11+F12+F14|LT|AB-507
MAT1003|Calculus|ASHISH KUMAR KESARWANY|C11+C12+C13+F11+F12+F14|LT|AB-513
MAT1003|Calculus|SONJOY PAN|C11+C12+C13+F11+F12+F14|LT|AB-518
MAT1003|Calculus|NAVNEET KUMAR VERMA|C11+C12+C13+F11+F12+F14|LT|AB-431
MAT1003|Calculus|NFSAL-MAT5|C11+C12+C13+F11+F12+F14|LT|AB-519
MAT1003|Calculus|MUNIYAPPAN M|C11+C12+C13+F11+F12+F14|LT|AB-514
MAT1003|Calculus|BENE VATHO JAISON A|C11+C12+C13+F11+F12+F14|LT|AB-416

# CHY1006 - Environmental Sustainability
CHY1006|Environmental Sustainability|HIMANSHI HARISH SHARMA|A11+A12|LT|AB-024
CHY1006|Environmental Sustainability|SAURABH MISHRA|A11+A12|LT|AB-515
CHY1006|Environmental Sustainability|VIPIN KUMAR MISHRA|A11+A12|LT|AB-520
CHY1006|Environmental Sustainability|POOJA|A11+A12|LT|AB-420
CHY1006|Environmental Sustainability|GEETANJALI GIRI|A11+A12|LT|AB-529
CHY1006|Environmental Sustainability|HIMANSHI HARISH SHARMA|A13+A14|LT|AB-024
CHY1006|Environmental Sustainability|SATYAM RAVI|A13+A14|LT|AB-529
CHY1006|Environmental Sustainability|SAURABH BHARGAVA|A21+A22|LT|AB-517
CHY1006|Environmental Sustainability|SHWETA MUKHERJEE|A21+A22|LT|AB-024
CHY1006|Environmental Sustainability|SHARAD CHANDRA TRIPATHI|A21+A22|LT|AB-023
CHY1006|Environmental Sustainability|P. VAYUNANDAKISHORE|A21+A22|LT|AB-518
CHY1006|Environmental Sustainability|VENKATESAN K|A21+A22|LT|AB-519
CHY1006|Environmental Sustainability|M. AZHAGURAJAN|A23+B14|LT|AB-418
CHY1006|Environmental Sustainability|ABHINAV KUMAR|A23+B14|LT|AB-518
CHY1006|Environmental Sustainability|GEETANJALI GIRI|A23+B14|LT|AB-429
CHY1006|Environmental Sustainability|ABHINAV KUMAR|A23+B14|LT|AB-519
CHY1006|Environmental Sustainability|SARAVANAN L|A23+B14|LT|AB-520
CHY1006|Environmental Sustainability|NELLAIAPPAN S|A23+B14|LT|AB-023
CHY1006|Environmental Sustainability|PUJSH KANTI MONDAL|A24+F22|LT|AB-023
CHY1006|Environmental Sustainability|M. AZHAGURAJAN|A24+F22|LT|AB-024
CHY1006|Environmental Sustainability|ABHINAV KUMAR|A24+F22|LT|AB-025
CHY1006|Environmental Sustainability|JAYACHANDIRAN J|A24+F22|LT|AB-419
CHY1006|Environmental Sustainability|RAJAT PARKASH|A24+F22|LT|AB-420
CHY1006|Environmental Sustainability|ARINDAM GHOSH|B11+B12|LT|AB-024
CHY1006|Environmental Sustainability|SUGAVANESHWARR R P|B11+B12|LT|AB-025
CHY1006|Environmental Sustainability|ABHINAV KUMAR|B11+B12|LT|AB-530
CHY1006|Environmental Sustainability|ARINDAM GHOSH|B21+E22|LT|AB-530
CHY1006|Environmental Sustainability|P. VAYUNANDAKISHORE|B21+E22|LT|AB-531
CHY1006|Environmental Sustainability|CHAYAN PANDYA|B23+E14|LT|AB-520
CHY1006|Environmental Sustainability|VENKATESAN K|B24+F21|LT|AB-419
CHY1006|Environmental Sustainability|SARAVANAN L|B24+F21|LT|AB-420
CHY1006|Environmental Sustainability|NELLAIAPPAN S|B24+F21|LT|AB-529
CHY1006|Environmental Sustainability|VINOD BHATT|C11+C12|LT|AB-025
CHY1006|Environmental Sustainability|TAUSEEF QAMAR|C11+C12|LT|AB-417
CHY1006|Environmental Sustainability|M. PRIYAKUMARAN|C11+C12|LT|AB-418
CHY1006|Environmental Sustainability|JAGRITI GUPTA|C11+C12|LT|AB-530
CHY1006|Environmental Sustainability|RAJAT PARKASH|C11+C12|LT|AB-024
CHY1006|Environmental Sustainability|CHAYAN PANDYA|C11+C12|LT|AB-531
CHY1006|Environmental Sustainability|JAYACHANDIRAN J|C14+C21|LT|AB-531
CHY1006|Environmental Sustainability|SAURABH BHARGAVA|D11+D12|LT|AB-420
CHY1006|Environmental Sustainability|JAGRITI GUPTA|D11+D12|LT|AB-515
CHY1006|Environmental Sustainability|SHWETA MUKHERJEE|D11+D12|LT|AB-024
CHY1006|Environmental Sustainability|PRADEEP KUMAR KAYSHAP|D11+D12|LT|AB-531
CHY1006|Environmental Sustainability|POOJA|D11+D12|LT|AB-530
CHY1006|Environmental Sustainability|SAURAV PRASAD|D21+D22|LT|AB-518
CHY1006|Environmental Sustainability|SAURABH MISHRA|D21+D22|LT|AB-519
CHY1006|Environmental Sustainability|RAJEEV SINGH PAYAL|D21+D22|LT|AB-024
CHY1006|Environmental Sustainability|ASHOK KUMAR BALAR|D21+D22|LT|AB-520
CHY1006|Environmental Sustainability|RAJAT PARKASH|D21+D22|LT|AB-531
CHY1006|Environmental Sustainability|SAURAV PRASAD|E11+E12|LT|AB-530
CHY1006|Environmental Sustainability|SUGAVANESHWARR R P|E11+E12|LT|AB-025
CHY1006|Environmental Sustainability|XAVIER SURESH|E11+E12|LT|AB-531
CHY1006|Environmental Sustainability|DIPANKAR SUTRADHAR|F11+F12|LT|AB-530
CHY1006|Environmental Sustainability|PIJUSH KANTI MONDAL|F11+F12|LT|AB-531
CHY1006|Environmental Sustainability|SARAVANAN L|F11+F12|LT|AB-024

# ENG1004 - Effective Technical Communication
ENG1004|Effective Technical Communication|VINOD BHATT|A11+A12|LT|AB-025
ENG1004|Effective Technical Communication|ANITA YADAV|A11+A12|LT|AB-419
ENG1004|Effective Technical Communication|DEV BRAT GUPTA|A11+A12|LT|AB-530
ENG1004|Effective Technical Communication|CHANDRAMA SWAIN|A11+A12|LT|AB-531
ENG1004|Effective Technical Communication|JUHI YASMEEN|A11+A12|LT|AB-417
ENG1004|Effective Technical Communication|GARGI ROY|A11+A12|LT|AB-418
ENG1004|Effective Technical Communication|SAMIKHYA DASH|A13+A14|LT|AB-025
ENG1004|Effective Technical Communication|ABDUR RAHMAN M S|A13+A14|LT|AB-515
ENG1004|Effective Technical Communication|DISHA KUNDU|A13+A14|LT|AB-420
ENG1004|Effective Technical Communication|ABDUR RAHMAN M S|A21+A22|LT|AB-417
ENG1004|Effective Technical Communication|GARGI ROY|A21+A22|LT|AB-418
ENG1004|Effective Technical Communication|ANITA YADAV|A21+A22|LT|AB-429
ENG1004|Effective Technical Communication|DEV BRAT GUPTA|A21+A22|LT|AB-520
ENG1004|Effective Technical Communication|CHANDRAMA SWAIN|A21+A22|LT|AB-529
ENG1004|Effective Technical Communication|DEBRAJ GOGOI|A21+A22|LT|AB-530
ENG1004|Effective Technical Communication|SAMIKHYA DASH|A21+A22|LT|AB-531
ENG1004|Effective Technical Communication|DISHA KUNDU|A23+B14|LT|AB-517
ENG1004|Effective Technical Communication|RAJEEV SAXENA|B11+B12|LT|AB-024
ENG1004|Effective Technical Communication|SOUMYA SANKAR GHOSH|B11+B12|LT|AB-531
ENG1004|Effective Technical Communication|CHANDRAMA SWAIN|B11+B12|LT|AB-417
ENG1004|Effective Technical Communication|JUHI YASMEEN|B11+B12|LT|AB-418
ENG1004|Effective Technical Communication|M. PRIYAKUMARAN|B14+F14|LT|AB-529
ENG1004|Effective Technical Communication|DEBRAJ GOGOI|B14+F14|LT|AB-530
ENG1004|Effective Technical Communication|SAMIKHYA DASH|B14+F14|LT|AB-531
ENG1004|Effective Technical Communication|TAUSEEF QAMAR|B14+F14|LT|AB-024
ENG1004|Effective Technical Communication|TAUSEEF QAMAR|B21+E22|LT|AB-503
ENG1004|Effective Technical Communication|M. PRIYAKUMARAN|B21+E22|LT|AB-520
ENG1004|Effective Technical Communication|DEBRAJ GOGOI|B21+E22|LT|AB-529
ENG1004|Effective Technical Communication|M. PRIYAKUMARAN|B24+F21|LT|AB-023
ENG1004|Effective Technical Communication|DEBRAJ GOGOI|B24+F21|LT|AB-024
ENG1004|Effective Technical Communication|VINOD BHATT|C11+C12|LT|AB-025
ENG1004|Effective Technical Communication|TAUSEEF QAMAR|C11+C12|LT|AB-417
ENG1004|Effective Technical Communication|M. PRIYAKUMARAN|C11+C12|LT|AB-418
ENG1004|Effective Technical Communication|VINOD BHATT|D11+D12|LT|AB-025
ENG1004|Effective Technical Communication|DEV BRAT GUPTA|D11+D12|LT|AB-520
ENG1004|Effective Technical Communication|RAJEEV SAXENA|D11+D12|LT|AB-419
ENG1004|Effective Technical Communication|CHANDRAMA SWAIN|D11+D12|LT|AB-529
ENG1004|Effective Technical Communication|JUHI YASMEEN|D11+D12|LT|AB-530
ENG1004|Effective Technical Communication|SAMIKHYA DASH|D11+D12|LT|AB-417
ENG1004|Effective Technical Communication|ABDUR RAHMAN M S|D21+D22|LT|AB-417
ENG1004|Effective Technical Communication|GARGI ROY|D21+D22|LT|AB-418
ENG1004|Effective Technical Communication|SAMIKHYA DASH|D21+D22|LT|AB-415
ENG1004|Effective Technical Communication|RAJEEV SAXENA|D21+D22|LT|AB-023
ENG1004|Effective Technical Communication|SOUMYA SANKAR GHOSH|D21+D22|LT|AB-429
ENG1004|Effective Technical Communication|CHANDRAMA SWAIN|D21+D22|LT|AB-529
ENG1004|Effective Technical Communication|DISHA KUNDU|D21+D22|LT|AB-529
ENG1004|Effective Technical Communication|ANITA YADAV|E11+E12|LT|AB-007
ENG1004|Effective Technical Communication|SOUMYA SANKAR GHOSH|E11+E12|LT|AB-024
ENG1004|Effective Technical Communication|JUHI YASMEEN|E11+E12|LT|AB-520
ENG1004|Effective Technical Communication|ABDUR RAHMAN M S|E11+E12|LT|AB-417
ENG1004|Effective Technical Communication|GARGI ROY|E11+E12|LT|AB-418
ENG1004|Effective Technical Communication|DIPANKAR SUTRADHAR|F11+F12|LT|AB-530
ENG1004|Effective Technical Communication|TAUSEEF QAMAR|F11+F12|LT|AB-529
ENG1004|Effective Technical Communication|M. PRIYAKUMARAN|F11+F12|LT|AB-417
ENG1004|Effective Technical Communication|DEBRAJ GOGOI|F11+F12|LT|AB-418

# CSE1021 - Introduction to Problem Solving and Programming
CSE1021|Introduction to Problem Solving and Programming|ABHA TRIVEDI|A11+A12+A13+A14+D11+D12|LTP|AB02-204
CSE1021|Introduction to Problem Solving and Programming|J. MANIKANDAN|A11+A12+A13+A14+D11+D12|LTP|AB-429
CSE1021|Introduction to Problem Solving and Programming|E. NIRMALA|A11+A12+A13+A14+D11+D12|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|A. SANANTHKUMARAN|A11+A12+A13+A14+D11+D12|LTP|AB-023
CSE1021|Introduction to Problem Solving and Programming|SASMITA PADHY|A11+A12+A13+A14+D11+D12|LTP|AB02-217
CSE1021|Introduction to Problem Solving and Programming|SIDDHARTH SINGH CHOUHAN|A11+A12+A13+A14+D11+D12|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|ADARSH PATEL|A11+A12+A13+A14+D11+D12|LTP|AB02-219
CSE1021|Introduction to Problem Solving and Programming|ABHA SHARMA|A11+A12+A13+A14+D11+D12|LTP|AB02-220
CSE1021|Introduction to Problem Solving and Programming|ANJALI MATHUR|A11+A12+A13+A14+D11+D12|LTP|AB02-221
CSE1021|Introduction to Problem Solving and Programming|GUNJAN ANSARI|A11+A12+A13+A14+D11+D12|LTP|AB02-222
CSE1021|Introduction to Problem Solving and Programming|NF-6(SCSE)|A11+A12+A13+A14+D11+D12|LTP|AB02-216
CSE1021|Introduction to Problem Solving and Programming|VENKAT PRASAD PADHY|A21+A22+A23+B14+D21+D22|LTP|AB-025
CSE1021|Introduction to Problem Solving and Programming|VIKAS PANTHI|A21+A22+A23+B14+D21+D22|LTP|AB02-223
CSE1021|Introduction to Problem Solving and Programming|NF-1-ARCH|A21+A22+A23+B14+D21+D22|LTP|AB02-204
CSE1021|Introduction to Problem Solving and Programming|TRAPTI SHARMA|A21+A22+A23+B14+D21+D22|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|A.V.R MAYURI|A21+A22+A23+B14+D21+D22|LTP|AB02-216
CSE1021|Introduction to Problem Solving and Programming|PREETAM SUMAN|A21+A22+A23+B14+D21+D22|LTP|AB02-217
CSE1021|Introduction to Problem Solving and Programming|DHERESH SONI|A21+A22+A23+B14+D21+D22|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|JITENDRA PRATAP SINGH MATHUR|A21+A22+A23+B14+D21+D22|LTP|AB02-219
CSE1021|Introduction to Problem Solving and Programming|I. JASMINE SELVAKUMARI JEYA|A21+A22+A23+B14+D21+D22|LTP|AB-501
CSE1021|Introduction to Problem Solving and Programming|T. VENKATESWARA RAO|A21+A22+A23+B14+D21+D22|LTP|AB02-220
CSE1021|Introduction to Problem Solving and Programming|VELMURUGAN L.|A21+A22+A23+B14+D21+D22|LTP|AB02-221
CSE1021|Introduction to Problem Solving and Programming|VAISHNAVI S|A21+A22+A23+B14+D21+D22|LTP|AB02-222
CSE1021|Introduction to Problem Solving and Programming|KANNAN S|B11+B12+B13+C14+E11+E12|LTP|AB-517
CSE1021|Introduction to Problem Solving and Programming|POONKUNTRAN S|B11+B12+B13+C14+E11+E12|LTP|AB02-204
CSE1021|Introduction to Problem Solving and Programming|KOMARASAMY G|B11+B12+B13+C14+E11+E12|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|ANJU SHUKLA|B11+B12+B13+C14+E11+E12|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|MANOJ KUMAR|B11+B12+B13+C14+E11+E12|LTP|AB02-216
CSE1021|Introduction to Problem Solving and Programming|RUDRA KALYAN NAYAK|B11+B12+B13+C14+E11+E12|LTP|AB02-217
CSE1021|Introduction to Problem Solving and Programming|PRADEEP KUMAR MISHRA|B11+B12+B13+C14+E11+E12|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|ASHFAQ AHMAD NAJAR|B11+B12+B13+C14+E11+E12|LTP|AB02-219
CSE1021|Introduction to Problem Solving and Programming|R. SENTHILKUMAR|B11+B12+B13+C14+E11+E12|LTP|AB02-220
CSE1021|Introduction to Problem Solving and Programming|PRISCILLA DINKAR MOYYA|B11+B12+B13+C14+E11+E12|LTP|AB02-221
CSE1021|Introduction to Problem Solving and Programming|VIT-BS-NF-1|B11+B12+B13+C14+E11+E12|LTP|AB02-002
CSE1021|Introduction to Problem Solving and Programming|HARIHARASITHARAMAN S|B21+B22+B23+E14+E21+E22|LTP|AB-024
CSE1021|Introduction to Problem Solving and Programming|D. LAKSHMI|B21+B22+B23+E14+E21+E22|LTP|AB02-204
CSE1021|Introduction to Problem Solving and Programming|ASHOK PATEL|B21+B22+B23+E14+E21+E22|LTP|AB-025
CSE1021|Introduction to Problem Solving and Programming|VINESH KUMAR|B21+B22+B23+E14+E21+E22|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|DEVARAJU S|B21+B22+B23+E14+E21+E22|LTP|AB02-216
CSE1021|Introduction to Problem Solving and Programming|A. SIRAJUDEEN|B21+B22+B23+E14+E21+E22|LTP|AB-430
CSE1021|Introduction to Problem Solving and Programming|AJAY KUMAR PHULRE|B21+B22+B23+E14+E21+E22|LTP|AB02-217
CSE1021|Introduction to Problem Solving and Programming|G. VISHNUVARTHANAN|B21+B22+B23+E14+E21+E22|LTP|AB-501
CSE1021|Introduction to Problem Solving and Programming|SIVABALAN KR|B21+B22+B23+E14+E21+E22|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|RAMRAJ DANGI|B21+B22+B23+E14+E21+E22|LTP|AB02-220
CSE1021|Introduction to Problem Solving and Programming|AJEET SINGH|B21+B22+B23+E14+E21+E22|LTP|AB02-219
CSE1021|Introduction to Problem Solving and Programming|KANNAIYA RAJAN|B21+B22+B23+E14+E21+E22|LTP|AB02-221
CSE1021|Introduction to Problem Solving and Programming|DSS|B21+B22+B23+E14+E21+E22|LTP|AB02-222
CSE1021|Introduction to Problem Solving and Programming|FSDF|B21+B22+B23+E14+E21+E22|LTP|AB02-223
CSE1021|Introduction to Problem Solving and Programming|CHANDAN KUMAR BEHERA|C11+C12+C13+F11+F12+F14|LTP|AB-420
CSE1021|Introduction to Problem Solving and Programming|MURUGESWARI K|C11+C12+C13+F11+F12+F14|LTP|AB02-204
CSE1021|Introduction to Problem Solving and Programming|BALAJI|C11+C12+C13+F11+F12+F14|LTP|AB-517
CSE1021|Introduction to Problem Solving and Programming|RAJIT NAIR|C11+C12+C13+F11+F12+F14|LTP|AB02-205
CSE1021|Introduction to Problem Solving and Programming|G.PRABU KANNA|C11+C12+C13+F11+F12+F14|LTP|AB-429
CSE1021|Introduction to Problem Solving and Programming|MOHD RAFI LONE|C11+C12+C13+F11+F12+F14|LTP|AB02-216
CSE1021|Introduction to Problem Solving and Programming|M.K. JAYANTHI|C11+C12+C13+F11+F12+F14|LTP|AB-419
CSE1021|Introduction to Problem Solving and Programming|SANDIP MAL|C11+C12+C13+F11+F12+F14|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|CHAYAN PAUL|C11+C12+C13+F11+F12+F14|LTP|AB02-218
CSE1021|Introduction to Problem Solving and Programming|SARAVANAN|C11+C12+C13+F11+F12+F14|LTP|AB02-219
